hex_number,type,q,r
1,surface,0,0
2,surface,1,-1
3,surface,0,1
4,tomb,1,0
5,surface,2,-1
6,blocked,3,-2
7,surface,0,2
8,tomb,1,1
9,tomb,2,0
10,tomb,3,-1
11,surface,4,-2
12,surface,0,3
13,tomb,1,2
14,tomb,2,1
15,tomb,3,0
16,surface,4,-1
17,surface,0,4
18,tomb,1,3
19,blocked,2,2
20,tomb,3,1
21,surface,4,0
22,blocked,0,5
23,tomb,1,4
24,tomb,2,3
25,tomb,3,2
26,surface,4,1
27,surface,0,6
28,tomb,1,5
29,tomb,2,4
30,tomb,3,3
31,surface,4,2
32,surface,1,6
33,surface,2,5
34,tomb,3,4
35,blocked,4,3
36,surface,3,5
37,surface,4,4
